V‚rdformu skaits:	1189
1	minn‰ﬂ
1	min~‰t
1	muußu
1	mußcham
1	mylimeeﬂ
1	mylio
1	mylioiet
1	mylit
1	myliﬂ
1	myl‰jiﬂ
1	myl‰ﬂ
1	m‰kkl‰ieet
1	m‰kl‰ieet
1	m‰lla
1	m‰llodami
1	m‰ttet
1	m‰ßteeﬂ
1	m‰‰rißet
1	naak
1	naakdamﬂ
1	naganti
1	ngi‰mt
1	nittzinaﬂ
1	nitzina
1	nodood
1	nogreeßeeﬂ
1	nokauﬂ
1	nomanni
1	nopulgaißchi
1	nopulgaﬂ
1	nopulgo
1	noteek
1	noteekam
1	notikkas
1	notikt
1	notittziﬂ
1	noturr‰dameeﬂ
1	notz‰rt
1	noßauktﬂ
1	n‰=neeka
1	n‰dﬂ
1	n‰gribbat
1	n‰warr
1	n‰wiltigaﬂ
1	n‰ﬂ
1	otraﬂ
1	otreem
1	paar
1	padarrit
1	paklaußiti
1	pamattißit
1	pamettiﬂ
1	pam‰tt
1	pam‰ttam
1	pam‰ttiﬂ
1	pam‰ttiﬂit
1	pam‰ﬂliﬂ
1	pari
1	pataruﬂ
1	pati
1	patti
1	paturr‰ﬂ
1	paw‰lju
1	paßchu
1	paßit
1	paßyt
1	paßyßtot
1	peed‰r
1	peelikt
1	peeliktz
1	peeluko
1	peepildit
1	peepilditi
1	peepildyﬂ
1	peeßauks
1	pillnaka
1	platz
1	plaßchi
1	pliau
1	pliukßt
1	pl‰ßigi
1	preekßcha
1	pr‰tz
1	puht‰
1	puut‰
1	puwis
1	puwiﬂ
1	puﬂ‰ﬂ
1	p‰tz
1	p‰ßti
1	p‰‰digu
1	raaditz
1	raddzati
1	radz
1	radzatj
1	ragßtem
1	ragßtitem
1	raißaieeteeﬂ
1	raißiﬂ
1	runnaia
1	runnaﬂ
1	rytu
1	r‰ddz
1	r‰ddz‰damﬂ
1	r‰ddz‰ti
1	r‰ddz‰ﬂ
1	taas
1	tack
1	tadu
1	tai
1	taiﬂya
1	taps
1	tapßet
1	taw
1	tawas
1	tawuﬂ
1	taw‰
1	taw‰ﬂ
1	teeßateeﬂ
1	tikkai
1	tirinaﬂ
1	titzam
1	titziﬂ
1	titzu
1	titz‰damﬂ
1	toopi
1	topﬂ
1	towi
1	trakkam
1	trakku
1	trump‰t‰t
1	tr‰ßcheem
1	tukßtoßcheem
1	tumßiaﬂ
1	turran‰ﬂ
1	turri
1	turr‰t
1	tyraﬂ
1	tyru
1	tzauri
1	tzeeﬂ
1	tz‰ttorteem
1	t‰itz
1	t‰wi
1	t‰wißkam
1	tˆwin‰
1	uuﬂeet
1	uuﬂtaitzya
1	uuﬂtz‰lta
1	uﬂlikt
1	vingi
1	vnn
1	waiaga
1	waiiaga
1	warret
1	warri
1	ween
1	weenteeßiga
1	weenteeßigi
1	wiltigi
1	wiltigu
1	wiltu
1	wingiai
1	wingiaﬂ
1	wingiuﬂ
1	wingﬂ
1	witzaﬂ
1	wißßaﬂ
1	wiﬂadu
1	wiﬂai
1	wiﬂam
1	wiﬂuﬂ
1	w‰ddiﬂ
1	w‰l
1	w‰ltj
1	w‰ltz
1	w‰rp
1	w‰ﬂ‰li
1	zaur
1	zittu
1	ßakt
1	ßalydzineeﬂ
1	ßamingiatay
1	ßapplooßa
1	ßapraßt
1	ßargateeﬂ
1	ßattzitﬂ
1	ßattziﬂ
1	ßatzidami
1	ßatzitz
1	ßatzißi
1	ßaukti
1	ßauktz
1	ßautz
1	ßav‰d
1	ßaw
1	ßawam
1	ßchaam
1	ßchauri
1	ßchaurim
1	ßchaurﬂ
1	ßcho
1	ßch‰loti
1	ßinnat
1	ßin~a
1	ßitt
1	ßkaiti
1	ßkaitidami
1	ßkaitit
1	ßkaitj
1	ßkeet
1	ßkyßti
1	ßlimma
1	ßlimmu
1	ßlimmus
1	ßlimmuﬂ
1	ßluddinaiam
1	ßl‰pp‰na
1	ßow
1	ßpeeßch
1	ßpyd
1	ßtaigat
1	ßtaw‰t
1	ßwaidi
1	ßweitzinat
1	ßw‰rat
1	ßw‰riteeﬂ
1	ßw‰r‰t
1	ßw‰tit
1	ßw‰tu
1	ßw‰tyat
1	ßw‰tyﬂ
1	ßw‰tz
1	ß‰mmigi
1	ß‰ptita
1	ß‰ptitaﬂ
1	ß‰ptitu
1	ß‰wim
1	ß‰ßchi
1	ß‰‰
1	ßˆwin
1	ßˆwiﬂ
1	ƒkas
1	ƒlka
1	ƒlka=Deewa
1	ƒrtzßim
1	ƒßet
1	ƒß‰lja
1	ƒﬂi
1	‰dißeet
1	‰dißim
1	‰ßßet
